y,v,u,z
3.0000000000490905,-4.626245872321379e-12,4.359707725964149e-13,3.0000000000490905
3.000000000044863,-4.22783329673179e-12,3.9841257558958857e-13,3.000000000044863
3.000000000040999,-3.863727536056102e-12,3.641057606756885e-13,3.000000000040999
3.0000000000374683,-3.53098394060734e-12,3.3274359544876166e-13,3.0000000000374683
3.0000000000342415,-3.2268867172133364e-12,3.040972233940036e-13,3.0000000000342415
3.0000000000312923,-2.9489885140261974e-12,2.7789820318713915e-13,3.0000000000312923
3.000000000028597,-2.6949938352822522e-12,2.53994678743945e-13,3.000000000028597
3.000000000026134,-2.462876487323249e-12,2.321173479590036e-13,3.000000000026134
3.0000000000238836,-2.2507621229525575e-12,2.1211436437069116e-13,3.0000000000238836
3.0000000000218265,-2.056929554461643e-12,1.9383256849091464e-13,3.0000000000218265
3.0000000000199467,-1.8797720247102175e-12,1.7715752975142526e-13,3.0000000000199467
3.000000000018229,-1.7178750685567464e-12,1.6189695615347107e-13,3.000000000018229
3.000000000016659,-1.5699382139689983e-12,1.4793685458774807e-13,3.000000000016659
3.0000000000152243,-1.4347371430789152e-12,1.3520107089008324e-13,3.0000000000152243
3.0000000000139133,-1.311162829422531e-12,1.2357431365638417e-13,3.0000000000139133
3.000000000012715,-1.1982598146697916e-12,1.1290301475273945e-13,3.000000000012715
3.00000000001162,-1.0950709237657813e-12,1.0318889090401024e-13,3.00000000001162
3.000000000010619,-1.000755143571597e-12,9.431578019418417e-14,3.000000000010619
3.0000000000097047,-9.145475908676072e-13,8.620755270398985e-14,3.0000000000097047
3.000000000008869,-8.357986741093039e-13,7.87489167583033e-14,3.000000000008869
3.000000000008105,-7.638187986749024e-13,7.197987543440148e-14,3.000000000008105
3.000000000007407,-6.980349598584472e-13,6.578383881645511e-14,3.000000000007407
3.0000000000067693,-6.37911563847049e-13,6.012339601139819e-14,3.0000000000067693
3.000000000006186,-5.829900270979495e-13,5.492153674909955e-14,3.000000000006186
3.0000000000056533,-5.327721909356228e-13,5.0217836162326715e-14,3.0000000000056533
3.0000000000051665,-4.868764818164175e-13,4.589570911920529e-14,3.0000000000051665
3.0000000000047216,-4.4495873714322765e-13,4.1917744673189867e-14,3.0000000000047216
3.0000000000043148,-4.0663566186358594e-13,3.832307527964173e-14,3.0000000000043148
3.000000000003943,-3.716018268666158e-13,3.503383499697014e-14,3.000000000003943
3.0000000000036033,-3.3958964682645895e-13,3.201218004015685e-14,3.0000000000036033
3.000000000003293,-3.103311133648636e-13,2.925853346159535e-14,3.000000000003293
3.000000000003009,-2.835969370744758e-13,2.6734176290387827e-14,3.000000000003009
3.00000000000275,-2.591573957119211e-13,2.4439541362554665e-14,3.00000000000275
3.000000000002513,-2.3682148611409316e-13,2.2335909597827916e-14,3.000000000002513
3.000000000002297,-2.164364865222741e-13,2.0384999591819058e-14,3.000000000002297
3.000000000002099,-1.9781053299161211e-13,1.8625953530662e-14,3.000000000002099
3.0000000000019185,-1.8079091338599384e-13,1.701961960561827e-14,3.0000000000019185
3.0000000000017533,-1.6522447789462892e-13,1.556643549136491e-14,3.0000000000017533
3.0000000000016023,-1.5099679584108586e-13,1.4227682053543054e-14,3.0000000000016023
3.000000000001464,-1.379930037110854e-13,1.3003792130000467e-14,3.000000000001464
3.000000000001338,-1.2609824282900505e-13,1.1894760882080337e-14,3.000000000001338
3.000000000001223,-1.1523636870676317e-13,1.0861874122241874e-14,3.000000000001223
3.0000000000011178,-1.0533080407373027e-13,9.905564633032906e-15,3.0000000000011178
3.0000000000010214,-9.626626225568389e-14,9.06454181804639e-15,3.0000000000010214
3.0000000000009335,-8.796660354910155e-14,8.299658706582336e-15,3.0000000000009335
3.000000000000853,-8.039396487149934e-14,7.572638677602217e-15,3.000000000000853
3.00000000000078,-7.347134100773195e-14,6.922623863767387e-15,3.00000000000078
3.0000000000007128,-6.716087855079488e-14,6.310462456937069e-15,3.0000000000007128
3.0000000000006515,-6.138557217738151e-14,5.775306373413372e-15,3.0000000000006515
3.0000000000005955,-5.6107568481696426e-14,5.278003695685086e-15,3.0000000000005955
3.0000000000005445,-5.128857638205116e-14,4.818992099645262e-15,3.0000000000005445
3.0000000000004974,-4.6890309689498085e-14,4.398266692553075e-15,3.0000000000004974
3.0000000000004547,-4.2835767918762405e-14,4.054541770735678e-15,3.0000000000004547
3.0000000000004157,-3.9164526093228124e-14,3.671241825534281e-15,3.0000000000004157
3.0000000000003797,-3.579871332387492e-14,3.365812769353208e-15,3.0000000000003797
3.000000000000347,-3.270048588099152e-14,3.0982274428834e-15,3.000000000000347
3.000000000000317,-2.987026681635297e-14,2.8302190646385465e-15,3.000000000000317
3.00000000000029,-2.730805140070016e-14,2.562215415652812e-15,3.00000000000029
3.000000000000265,-2.4975125445269394e-14,2.332925955430769e-15,3.000000000000265
3.0000000000002425,-2.283320749099039e-14,2.141917954279003e-15,3.0000000000002425
3.0000000000002216,-2.0882725482976782e-14,1.9504820080136085e-15,3.0000000000002216
3.0000000000002025,-1.9084960395635566e-14,1.7977650873412174e-15,3.0000000000002025
3.000000000000185,-1.7440345065598616e-14,1.6446153300369494e-15,3.000000000000185
3.000000000000169,-1.5948874654222738e-14,1.491470411375879e-15,3.000000000000169
3.0000000000001545,-1.457183497396703e-14,1.3770396802557077e-15,3.0000000000001545
3.000000000000141,-1.3309658807379214e-14,1.2621761665878177e-15,3.000000000000141
3.0000000000001292,-1.2162341316420683e-14,1.1473174909585302e-15,3.0000000000001292
3.000000000000118,-1.1129882555175457e-14,1.0324587612452257e-15,3.000000000000118
3.000000000000108,-1.0173568281407272e-14,9.563142737681854e-16,3.000000000000108
3.0000000000000986,-9.29383127827527e-15,8.797370031320018e-16,3.0000000000000986
3.00000000000009,-8.490666707734018e-15,8.031645705412519e-16,3.00000000000009
3.0000000000000826,-7.764074623867608e-15,7.265920838664099e-16,3.0000000000000826
3.0000000000000755,-7.114055026071438e-15,6.500195977961709e-16,3.0000000000000755
3.000000000000069,-6.501893672720606e-15,6.121613533508314e-16,3.000000000000069
3.000000000000063,-5.9280233469674205e-15,5.738703257531852e-16,3.000000000000063
3.0000000000000577,-5.4311534523981846e-15,4.968698945692357e-16,3.0000000000000577
3.000000000000053,-4.972137018312945e-15,4.590164340852394e-16,3.000000000000053
3.0000000000000484,-4.55141166530484e-15,4.2072535300810495e-16,3.0000000000000484
3.0000000000000444,-4.168972501251183e-15,3.8243916405365727e-16,3.0000000000000444
3.0000000000000404,-3.824819580840588e-15,3.44152920410595e-16,3.0000000000000404
3.000000000000037,-3.480238661830036e-15,3.4458091901055203e-16,3.000000000000037
3.0000000000000338,-3.1743767690104043e-15,3.058618928196316e-16,3.0000000000000338
3.0000000000000306,-2.9067962811838764e-15,2.675804878265278e-16,3.0000000000000306
3.000000000000028,-2.6387878488482406e-15,2.6800843233563583e-16,3.000000000000028
3.0000000000000258,-2.409498442098848e-15,2.292894067493926e-16,3.0000000000000258
